track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days
Woodbine,2024-09-13,8,5,Jaggersgotagun,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,8,6,Fanore (IRE),0,,,-999.0,9,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-13,8,7,Hey Cue,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,8,8,Play the Dots,0,,,-999.0,9,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,8,9,Diomedes,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-13,9,1,He Shoots He Wins,0,,,-999.0,11,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,9,2,Needs Fulfilled,0,,,-999.0,11,,,,0.0,,,,,,,,115.0,
Woodbine,2024-09-13,9,3,Heat Merchant,0,,,-999.0,11,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,9,4,Prince Sussex,0,,,-999.0,11,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,9,5,Conditional,0,,,-999.0,11,,,,0.0,,,,,,,,125.0,
